,correct,incorrect,dec_correct_inp,dec_correct_out
6970,Barn owl along A by Caulden quarry................D Powell.,Barn Owl along A by Caulden Quarry................D Powell.,<start> Barn owl along A by Caulden quarry................D Powell.,Barn owl along A by Caulden quarry................D Powell. <end>
7026,OAL length is dependent to that about  is in my inch of should.,OAL length is dependent on about  is inch of the shoulder showing.,<start> OAL length is dependent to that about  is in my inch of should.,OAL length is dependent to that about  is in my inch of should. <end>
8109,"cpldfit version I.,, Xilinx Inc.",cpldfit version I. Xilinx Inc.,"<start> cpldfit version I.,, Xilinx Inc.","cpldfit version I.,, Xilinx Inc. <end>"
3074,give us back exactly that singal we were starting from.,give us back exactly the signal we were starting from.,<start> give us back exactly that singal we were starting from.,give us back exactly that singal we were starting from. <end>
1093,How to know of that is about the other peple in the scene?,How do they feel about the other people in the scene?,<start> How to know of that is about the other peple in the scene?,How to know of that is about the other peple in the scene? <end>
434,"Jobey, Liz. âTate Expectations.â Guards February and AA.","Jobey, Liz. âTate Expectations.â The Guardian February AA.","<start> Jobey, Liz. âTate Expectations.â Guards February and AA.","Jobey, Liz. âTate Expectations.â Guards February and AA. <end>"
9308,All are ready for the rail.,All ready for the track.,<start> All are ready for the rail.,All are ready for the rail. <end>
9112,anyone else having one heck of a time with the mini game,anyone else having one heck of a time with the mini game?,<start> anyone else having one heck of a time with the mini game,anyone else having one heck of a time with the mini game <end>
7059, have your very own upland adventure without stepping outside 'London' food.,Have your own Highland adventure without stepping a food outside of London.,<start>  have your very own upland adventure without stepping outside 'London' food., have your very own upland adventure without stepping outside 'London' food. <end>
1020,"pimple worse,"" says Dr. Marmur.","pimples worse,"" says Dr. Marmur.","<start> pimple worse,"" says Dr. Marmur.","pimple worse,"" says Dr. Marmur. <end>"
2344,Business facilities with FREE WIFI with faxing facilities and photoworked activities,"Business facilities FREE WIFI, faxing facilities and photocopying services.",<start> Business facilities with FREE WIFI with faxing facilities and photoworked activities,Business facilities with FREE WIFI with faxing facilities and photoworked activities <end>
8451,StrongProject Management keep team on track and action.,. Strong project management keeps team on track and active.,<start> StrongProject Management keep team on track and action.,StrongProject Management keep team on track and action. <end>
7438,Tim Alright it is great to have you guys here.,"Tim Alright, it is great to have you guys here.",<start> Tim Alright it is great to have you guys here.,Tim Alright it is great to have you guys here. <end>
4711,"From the wall to there is head ""","From the wall to where the head is ""","<start> From the wall to there is head ""","From the wall to there is head "" <end>"
7818,Ramin Pakrooh goes' exceptional at representing difficult client '.,Ramin Pakrooh is 'exceptional at representing difficult clients'.,<start> Ramin Pakrooh goes' exceptional at representing difficult client '.,Ramin Pakrooh goes' exceptional at representing difficult client '. <end>
7647,The Brangelina divoce drama wages on.,The Brangelina divorce drama wages on.,<start> The Brangelina divoce drama wages on.,The Brangelina divoce drama wages on. <end>
2461,dBB commerce in U.S. is a bigture.,BB commerce in the U.S. is a big deal.,<start> dBB commerce in U.S. is a bigture.,dBB commerce in U.S. is a bigture. <end>
9186,Nov â Dec.Dec ..,Nov â Dec .,<start> Nov â Dec.Dec ..,Nov â Dec.Dec .. <end>
2398,"Sounds like pretty bizarre and unnecessarily dramatic night, right?","Sounds like a pretty bizarre and unnecessarily dramatic night, right?","<start> Sounds like pretty bizarre and unnecessarily dramatic night, right?","Sounds like pretty bizarre and unnecessarily dramatic night, right? <end>"
2952,Next Post What To Zee on a Saturday Night?,Next Post What To Do on a Saturday Night?,<start> Next Post What To Zee on a Saturday Night?,Next Post What To Zee on a Saturday Night? <end>
1821,Personalized recommendations by uncovering mmeber is prefersences.,Personalized recommendations by uncovering memberâs preferences.,<start> Personalized recommendations by uncovering mmeber is prefersences.,Personalized recommendations by uncovering mmeber is prefersences. <end>
3694,Dublin zooâs newest baby bongo feel a little bellied.,Dublin Zooâs newest baby bongo appears to be feeling a little belligerent.,<start> Dublin zooâs newest baby bongo feel a little bellied.,Dublin zooâs newest baby bongo feel a little bellied. <end>
8297,"Cyril enjoys coolly R. million each year for, well ... who knows.","Cyril enjoys a cool R. million each year for, wellâ¦ who knows.","<start> Cyril enjoys coolly R. million each year for, well ... who knows.","Cyril enjoys coolly R. million each year for, well ... who knows. <end>"
8763,ERTL Vintage International Transtar Eagle Model Truck Kit?,ERTL Vintage International Transtar Eagle Model Truck Kit! Sealed!,<start> ERTL Vintage International Transtar Eagle Model Truck Kit?,ERTL Vintage International Transtar Eagle Model Truck Kit? <end>
4598,Total price varies up to done and accomod ations.,Total price vary depending on activity and accomodations.,<start> Total price varies up to done and accomod ations.,Total price varies up to done and accomod ations. <end>
5524,The airline has following types of aircraft ATR.,The airline has the following types of aircraft ATR.,<start> The airline has following types of aircraft ATR.,The airline has following types of aircraft ATR. <end>
444,SWORKS PREVAIL II HELMET CE RED FADE M for reduced to clear!,SWORKS PREVAIL II HELMET CE RED FADE M reduced to clear!,<start> SWORKS PREVAIL II HELMET CE RED FADE M for reduced to clear!,SWORKS PREVAIL II HELMET CE RED FADE M for reduced to clear! <end>
9276,"Well, and the explained skipped a step.","Well, the explanation skipped a step.","<start> Well, and the explained skipped a step.","Well, and the explained skipped a step. <end>"
8198,Its programmes can be updated at on gong Basis.,Programmes can be updated on an ongoing basis.,<start> Its programmes can be updated at on gong Basis.,Its programmes can be updated at on gong Basis. <end>
7746,"Jubilee, the black and white frame wsabino FT mare all are grown up.","Jubilee, the black and white frame wsabino FT mare, all grown up.","<start> Jubilee, the black and white frame wsabino FT mare all are grown up.","Jubilee, the black and white frame wsabino FT mare all are grown up. <end>"
9760,How to highlight selected of resources.,How to highlight selected resources.,<start> How to highlight selected of resources.,How to highlight selected of resources. <end>
4463,"Wow, those tiny puddings with the raspberry on above are so darling.","Wow, those tiny puddings with the raspberry on top are so darling!","<start> Wow, those tiny puddings with the raspberry on above are so darling.","Wow, those tiny puddings with the raspberry on above are so darling. <end>"
446,"The frosting was changed in pink, just topping with rasberry.","The frosting was pretty in pink, and topped with a raspberry.","<start> The frosting was changed in pink, just topping with rasberry.","The frosting was changed in pink, just topping with rasberry. <end>"
764,"John What is about uses ""Authoring"" in the name?","John What about using ""Authoring"" in the name?","<start> John What is about uses ""Authoring"" in the name?","John What is about uses ""Authoring"" in the name? <end>"
1589,N. B.Npaalal lIontloo plid to Dlaleea oathe Eye.,N. B.Npaalal lIontloo plid to Dlaleeas oathe Eye.,<start> N. B.Npaalal lIontloo plid to Dlaleea oathe Eye.,N. B.Npaalal lIontloo plid to Dlaleea oathe Eye. <end>
1267,how long is train jorney from High Wycombe to Banbury?,. How long is the train journey from High Wycombe to Banbury?,<start> how long is train jorney from High Wycombe to Banbury?,how long is train jorney from High Wycombe to Banbury? <end>
6322,See watch Editor David J. Eicher is video tour of the May issue.,Watch Editor David J. Eicher is video tour of the May issue.,<start> See watch Editor David J. Eicher is video tour of the May issue.,See watch Editor David J. Eicher is video tour of the May issue. <end>
1350,Bernard Flowers is till now the latest crossover hit the HNHH charts.,Bernard Flowers is the latest crossover crooner to hit the HNHH charts.,<start> Bernard Flowers is till now the latest crossover hit the HNHH charts.,Bernard Flowers is till now the latest crossover hit the HNHH charts. <end>
4094,Designed By Marutisystems Â© All Good Right Reserve .,Designed By Marutisystems Â© All Right Reserved .,<start> Designed By Marutisystems Â© All Good Right Reserve .,Designed By Marutisystems Â© All Good Right Reserve . <end>
1559,"Next week, hopefully I will have more struggle things.","Next week, hopefully I will have more peace.","<start> Next week, hopefully I will have more struggle things.","Next week, hopefully I will have more struggle things. <end>"
5416,Are being signed up for LIVING FRAGRANCE?,Signed up for LIVING FRAGRANCE?,<start> Are being signed up for LIVING FRAGRANCE?,Are being signed up for LIVING FRAGRANCE? <end>
7339,Is HTC kinkingsome sense into user is user interface?,Is HTC knocking some sense into its UI?,<start> Is HTC kinkingsome sense into user is user interface?,Is HTC kinkingsome sense into user is user interface? <end>
